Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,1.2,0.0073,-14.8,0.365,1,0.0,1,1,0.0,1
2,1.2,0.0073,-14.8,0.365,1,0.0,1,0,0.0,0
3,1.2,0.0073,-14.8,0.365,1,0.0,1,0,0.0,0
4,1.2,0.0073,-14.8,0.365,1,0.0,1,0,0.0,0
5,1.2,0.0073,-14.8,0.365,1,0.0,1,0,0.0,0
6,1.2,0.0073,-14.8,0.365,1,0.0,1,0,0.0,0
7,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,6,1.4142135623730951,5
8,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
9,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
10,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
11,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
12,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
13,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
14,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
15,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
16,1.2,0.0073,-14.8,0.365,7,1.4142135623730951,6,0,0.0,0
17,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,6,0.8218544151266947,5
18,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
19,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
20,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
21,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
22,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
23,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
24,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
25,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
26,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
27,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
28,1.2,0.0073,-14.8,0.365,13,2.23606797749979,11,0,0.0,0
29,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,6,1.3694832979641993,6
30,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
31,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
32,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
33,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
34,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
35,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
36,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
37,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
38,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
39,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
40,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
41,1.2,0.0073,-14.8,0.365,19,3.605551275463989,17,0,0.0,0
42,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,6,0.8665846795355905,6
43,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
44,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
45,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
46,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
47,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
48,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
49,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
50,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
51,1.2,0.0073,-14.8,0.365,25,4.47213595499958,23,0,0.0,0
52,1.2,0.0073,-14.8,0.365,37,4.47213595499958,34,12,0.0,11
53,1.2,0.0073,-14.8,0.365,49,4.47213595499958,38,12,0.0,4
54,1.2,0.0073,-14.8,0.365,49,4.47213595499958,38,0,0.0,0
55,1.2,0.0073,-14.8,0.365,55,5.830951894845301,43,6,1.3588159398457211,5
56,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,6,0.0,-12
57,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
58,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
59,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
60,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
61,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
62,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
63,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
64,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
65,1.2,0.0073,-14.8,0.365,61,5.830951894845301,31,0,0.0,0
