Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,2.5,0.0019,-20.0,0.095,1,0.0,1,1,0.0,1
2,2.5,0.0019,-20.0,0.095,1,0.0,1,0,0.0,0
3,2.5,0.0019,-20.0,0.095,1,0.0,1,0,0.0,0
4,2.5,0.0019,-20.0,0.095,7,1.4142135623730951,6,6,1.4142135623730951,5
5,2.5,0.0019,-20.0,0.095,7,1.4142135623730951,6,0,0.0,0
6,2.5,0.0019,-20.0,0.095,7,1.4142135623730951,6,0,0.0,0
7,2.5,0.0019,-20.0,0.095,7,1.4142135623730951,6,0,0.0,0
8,2.5,0.0019,-20.0,0.095,7,1.4142135623730951,6,0,0.0,0
9,2.5,0.0019,-20.0,0.095,7,1.4142135623730951,6,0,0.0,0
10,2.5,0.0019,-20.0,0.095,13,2.23606797749979,11,6,0.8218544151266947,5
11,2.5,0.0019,-20.0,0.095,13,2.23606797749979,11,0,0.0,0
12,2.5,0.0019,-20.0,0.095,13,2.23606797749979,11,0,0.0,0
13,2.5,0.0019,-20.0,0.095,13,2.23606797749979,11,0,0.0,0
14,2.5,0.0019,-20.0,0.095,13,2.23606797749979,11,0,0.0,0
15,2.5,0.0019,-20.0,0.095,13,2.23606797749979,11,0,0.0,0
16,2.5,0.0019,-20.0,0.095,13,2.23606797749979,11,0,0.0,0
17,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,6,1.3694832979641993,6
18,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,0,0.0,0
19,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,0,0.0,0
20,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,0,0.0,0
21,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,0,0.0,0
22,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,0,0.0,0
23,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,0,0.0,0
24,2.5,0.0019,-20.0,0.095,19,3.605551275463989,17,0,0.0,0
25,2.5,0.0019,-20.0,0.095,25,4.47213595499958,23,6,0.8665846795355905,6
26,2.5,0.0019,-20.0,0.095,25,4.47213595499958,23,0,0.0,0
