Frame,Alpha,Gamma,Temperature,Supersaturation,Area,Radius,Perimeter,dA_dt,dR_dt,dP_dt
1,2.5,0.0073,-20.0,0.365,1,0.0,1,1,0.0,1
2,2.5,0.0073,-20.0,0.365,1,0.0,1,0,0.0,0
3,2.5,0.0073,-20.0,0.365,1,0.0,1,0,0.0,0
4,2.5,0.0073,-20.0,0.365,7,1.4142135623730951,6,6,1.4142135623730951,5
5,2.5,0.0073,-20.0,0.365,7,1.4142135623730951,6,0,0.0,0
6,2.5,0.0073,-20.0,0.365,7,1.4142135623730951,6,0,0.0,0
7,2.5,0.0073,-20.0,0.365,7,1.4142135623730951,6,0,0.0,0
8,2.5,0.0073,-20.0,0.365,7,1.4142135623730951,6,0,0.0,0
9,2.5,0.0073,-20.0,0.365,7,1.4142135623730951,6,0,0.0,0
10,2.5,0.0073,-20.0,0.365,13,2.23606797749979,11,6,0.8218544151266947,5
11,2.5,0.0073,-20.0,0.365,13,2.23606797749979,11,0,0.0,0
12,2.5,0.0073,-20.0,0.365,13,2.23606797749979,11,0,0.0,0
13,2.5,0.0073,-20.0,0.365,13,2.23606797749979,11,0,0.0,0
14,2.5,0.0073,-20.0,0.365,13,2.23606797749979,11,0,0.0,0
15,2.5,0.0073,-20.0,0.365,13,2.23606797749979,11,0,0.0,0
16,2.5,0.0073,-20.0,0.365,13,2.23606797749979,11,0,0.0,0
17,2.5,0.0073,-20.0,0.365,19,3.605551275463989,17,6,1.3694832979641993,6
18,2.5,0.0073,-20.0,0.365,19,3.605551275463989,17,0,0.0,0
19,2.5,0.0073,-20.0,0.365,19,3.605551275463989,17,0,0.0,0
20,2.5,0.0073,-20.0,0.365,19,3.605551275463989,17,0,0.0,0
21,2.5,0.0073,-20.0,0.365,19,3.605551275463989,17,0,0.0,0
22,2.5,0.0073,-20.0,0.365,19,3.605551275463989,17,0,0.0,0
23,2.5,0.0073,-20.0,0.365,19,3.605551275463989,17,0,0.0,0
24,2.5,0.0073,-20.0,0.365,25,4.47213595499958,23,6,0.8665846795355905,6
25,2.5,0.0073,-20.0,0.365,25,4.47213595499958,23,0,0.0,0
26,2.5,0.0073,-20.0,0.365,25,4.47213595499958,23,0,0.0,0
27,2.5,0.0073,-20.0,0.365,25,4.47213595499958,23,0,0.0,0
28,2.5,0.0073,-20.0,0.365,25,4.47213595499958,23,0,0.0,0
29,2.5,0.0073,-20.0,0.365,25,4.47213595499958,23,0,0.0,0
30,2.5,0.0073,-20.0,0.365,25,4.47213595499958,23,0,0.0,0
31,2.5,0.0073,-20.0,0.365,31,5.830951894845301,29,6,1.3588159398457211,6
32,2.5,0.0073,-20.0,0.365,43,5.830951894845301,39,12,0.0,10
33,2.5,0.0073,-20.0,0.365,43,5.830951894845301,39,0,0.0,0
34,2.5,0.0073,-20.0,0.365,43,5.830951894845301,39,0,0.0,0
35,2.5,0.0073,-20.0,0.365,43,5.830951894845301,39,0,0.0,0
36,2.5,0.0073,-20.0,0.365,43,5.830951894845301,39,0,0.0,0
37,2.5,0.0073,-20.0,0.365,43,5.830951894845301,39,0,0.0,0
38,2.5,0.0073,-20.0,0.365,55,5.830951894845301,43,12,0.0,4
39,2.5,0.0073,-20.0,0.365,61,6.708203932499369,49,6,0.8772520376540687,6
40,2.5,0.0073,-20.0,0.365,73,6.708203932499369,55,12,0.0,6
41,2.5,0.0073,-20.0,0.365,73,6.708203932499369,55,0,0.0,0
42,2.5,0.0073,-20.0,0.365,73,6.708203932499369,55,0,0.0,0
43,2.5,0.0073,-20.0,0.365,73,6.708203932499369,55,0,0.0,0
44,2.5,0.0073,-20.0,0.365,91,6.708203932499369,50,18,0.0,-5
45,2.5,0.0073,-20.0,0.365,91,6.708203932499369,50,0,0.0,0
46,2.5,0.0073,-20.0,0.365,91,6.708203932499369,50,0,0.0,0
47,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,6,1.3540538157991797,5
48,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,0,0.0,0
49,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,0,0.0,0
50,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,0,0.0,0
51,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,0,0.0,0
52,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,0,0.0,0
53,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,0,0.0,0
54,2.5,0.0073,-20.0,0.365,97,8.06225774829855,55,0,0.0,0
55,2.5,0.0073,-20.0,0.365,103,8.94427190999916,61,6,0.8820141617006101,6
